,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.2854729023340945,,Intercept,311.9517171021209,312.0,0.04828289787911899,312.0
1,1,grade:A,1.1412219953427087,1.8316720989026184e-36,grade,88.99303848173307,89.0,0.006961518266933808,89.0
2,2,grade:B,0.8851339330914301,7.377225423887774e-48,grade,69.0231685776776,69.0,-0.023168577677594726,69.0
3,3,grade:C,0.6900679843468496,1.7789328304786416e-34,grade,53.81183234866532,54.0,0.18816765133468039,54.0
4,4,grade:D,0.5020344896597696,4.885203023325262e-21,grade,39.14889025954361,39.0,-0.148890259543613,39.0
5,5,grade:E,0.32660253298968756,4.525946224462647e-12,grade,25.468622148186373,25.0,-0.46862214818637327,25.0
6,6,grade:F,0.13683243432497344,0.005268127001870295,grade,10.670258848082213,11.0,0.3297411519177871,11.0
7,7,home_ownership:OWN,0.091908939151222,5.0272414862358045e-06,home_ownership,7.167103150902497,7.0,-0.16710315090249672,7.0
8,8,home_ownership:MORTGAGE,0.10606788519302511,4.969355191850191e-17,home_ownership,8.271224553312528,8.0,-0.27122455331252837,8.0
9,9,addr_state:NM_VA,0.028892792723794986,0.36681920803053425,addr_state,2.2530738324415807,2.0,-0.25307383244158066,2.0
10,10,addr_state:NY,0.051285316268413435,0.034328193024959944,addr_state,3.999253557019104,4.0,0.0007464429808958783,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05348543915263335,0.020949305627351776,addr_state,4.170820194622446,4.0,-0.17082019462244613,4.0
12,12,addr_state:CA,0.057933554996398226,0.006315645471028266,addr_state,4.517686401259569,5.0,0.482313598740431,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07306235003828074,0.0033772332898553475,addr_state,5.697437093796994,6.0,0.30256290620300597,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13019976588317328,7.607317198952556e-09,addr_state,10.153040182225316,10.0,-0.15304018222531646,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09441432206793601,0.0015576678052070941,addr_state,7.36247411223036,7.0,-0.36247411223035986,7.0
16,16,addr_state:GA_WA_OR,0.1801499711990733,1.4562595432269742e-11,addr_state,14.048181146901047,14.0,-0.048181146901047356,14.0
17,17,addr_state:WI_MT,0.22366582546688296,2.3640255887795877e-06,addr_state,17.441568331186545,17.0,-0.44156833118654504,17.0
18,18,addr_state:TX,0.2168462657335415,7.251990279031923e-17,addr_state,16.909775792789592,17.0,0.09022420721040803,17.0
19,19,addr_state:IL_CT,0.25602761962286413,1.883555132971077e-18,addr_state,19.965156558905814,20.0,0.03484344109418558,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3149072516723313,1.7963161571912905e-24,addr_state,24.55661850246482,25.0,0.4433814975351815,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5163826600859767,2.848121351782943e-22,addr_state,40.26776747019399,40.0,-0.26776747019398783,40.0
22,22,verification_status:Not Verified,0.08461547904992518,6.755045486863716e-09,verification_status,6.598355634548523,7.0,0.4016443654514772,7.0
23,23,verification_status:Source Verified,-0.010895395203438995,0.4172218681764329,verification_status,-0.8496281429645608,-1.0,-0.1503718570354392,-1.0
24,24,purpose:credit_card,0.3051077857601518,3.29440815826603e-27,purpose,23.792451451196992,24.0,0.20754854880300755,24.0
25,25,purpose:debt_consolidation,0.2012273456390514,9.203344666072298e-15,purpose,15.691804913605248,16.0,0.30819508639475224,16.0
26,26,purpose:oth__med__vacation,0.2171172958424602,2.8261417149106144e-12,purpose,16.93091085065839,17.0,0.06908914934161103,17.0
27,27,purpose:major_purch__car__home_impr,0.2691764188447995,6.116841585273082e-18,purpose,20.990506227876118,21.0,0.009493772123882138,21.0
28,28,initial_list_status:w,0.054367358141178726,3.119028581456424e-05,initial_list_status,4.239592660282662,4.0,-0.23959266028266235,4.0
29,29,term:36,0.0784339228809589,2.0022004085490562e-08,term,6.11631492006281,6.0,-0.11631492006280997,6.0
30,30,emp_length:1,0.10000699698630301,0.00011503019206568648,emp_length,7.798593584390196,8.0,0.20140641560980388,8.0
31,31,emp_length:2-4,0.1262441711537479,2.2262648264970936e-11,emp_length,9.844581008278023,10.0,0.1554189917219766,10.0
32,32,emp_length:5-6,0.09149132713834385,1.9070248622983124e-05,emp_length,7.134537565868063,7.0,-0.13453756586806342,7.0
33,33,emp_length:7-9,0.06172264298169553,0.00299814539932787,emp_length,4.813161299449709,5.0,0.1868387005502914,5.0
34,34,emp_length:10,0.12587244948192722,8.540225442734509e-12,emp_length,9.815593974046445,10.0,0.18440602595355493,10.0
35,35,mths_since_issue_d:<38,1.091350783064379,4.3160265379650785e-185,mths_since_issue_d,85.104057432009,85.0,-0.1040574320090002,85.0
36,36,mths_since_issue_d:38-39,0.8868669738403707,5.6558259431073624e-154,mths_since_issue_d,69.15831192637775,69.0,-0.15831192637774905,69.0
37,37,mths_since_issue_d:40-41,0.7863638484092357,6.283573028124767e-128,mths_since_issue_d,61.32103000793598,61.0,-0.32103000793598113,61.0
38,38,mths_since_issue_d:42-48,0.585583718833848,2.4166865001070008e-91,mths_since_issue_d,45.664099217442356,46.0,0.3359007825576441,46.0
39,39,mths_since_issue_d:49-52,0.4245238057270914,6.740832001717351e-43,mths_since_issue_d,33.1045699554166,33.0,-0.10456995541660064,33.0
40,40,mths_since_issue_d:53-64,0.1785383725044504,8.019939856027654e-10,mths_since_issue_d,13.922507907835392,14.0,0.07749209216460784,14.0
41,41,mths_since_issue_d:65-84,-0.06258242507756452,0.03141751597459272,mths_since_issue_d,-4.880207519603043,-5.0,-0.11979248039695722,-5.0
42,42,int_rate:<9.548,0.8720011216752394,1.3379730266941842e-30,int_rate,67.99906564546637,68.0,0.0009343545336264469,68.0
43,43,int_rate:9.548-12.025,0.5572088096793667,8.543804862503571e-36,int_rate,43.451410194092325,43.0,-0.4514101940923254,43.0
44,44,int_rate:12.025-15.74,0.3056484136484467,8.050770070035867e-17,int_rate,23.83460987318997,24.0,0.1653901268100313,24.0
45,45,int_rate:15.74-20.281,0.11287911579633965,9.751238397877202e-05,int_rate,8.80236758215566,9.0,0.19763241784433916,9.0
46,46,mths_since_earliest_cr_line:141-164,0.05401387830208376,0.029907691646602088,mths_since_earliest_cr_line,4.212028132915093,4.0,-0.21202813291509326,4.0
47,47,mths_since_earliest_cr_line:165-247,0.035972873278707185,0.07321052202281517,mths_since_earliest_cr_line,2.8051819094400954,3.0,0.19481809055990462,3.0
48,48,mths_since_earliest_cr_line:248-270,0.0774276736938629,0.0031620989013281305,mths_since_earliest_cr_line,6.037847125895772,6.0,-0.037847125895772216,6.0
49,49,mths_since_earliest_cr_line:271-352,0.1205128778844804,2.6687405825373566e-07,mths_since_earliest_cr_line,9.39765201063909,9.0,-0.3976520106390904,9.0
50,50,mths_since_earliest_cr_line:>352,0.12850495357449443,1.2557232161729976e-06,mths_since_earliest_cr_line,10.020877905629623,10.0,-0.020877905629623328,10.0
51,51,inq_last_6mths:0,0.6558547757913569,4.130374595322776e-14,inq_last_6mths,51.143869938207054,51.0,-0.14386993820705385,51.0
52,52,inq_last_6mths:1-2,0.5095783045410252,4.149704712873109e-09,inq_last_6mths,39.737160561699014,40.0,0.2628394383009862,40.0
53,53,inq_last_6mths:3-6,0.2993145594802842,0.0006042054085019588,inq_last_6mths,23.340692887690842,23.0,-0.3406928876908424,23.0
54,54,acc_now_delinq:>=1,0.201685961662808,0.05562496870754348,acc_now_delinq,15.727568011071885,16.0,0.2724319889281155,16.0
55,55,annual_inc:20K-30K,-0.07978767859117664,0.058031483692406294,annual_inc,-6.221881439553256,-6.0,0.2218814395532558,-6.0
56,56,annual_inc:30K-40K,-0.017640661535314836,0.6627446359328758,annual_inc,-1.3756272462870487,-1.0,0.3756272462870487,-1.0
57,57,annual_inc:40K-50K,0.07722946879588408,0.055867022603541955,annual_inc,6.022391012900157,6.0,-0.022391012900157214,6.0
58,58,annual_inc:50K-60K,0.14413090435994938,0.0004268118315085519,annual_inc,11.239397041467049,11.0,-0.23939704146704877,11.0
59,59,annual_inc:60K-70K,0.2196883134259872,1.517824551099424e-07,annual_inc,17.131400034780114,17.0,-0.13140003478011408,17.0
60,60,annual_inc:70K-80K,0.2931081300071627,6.523407870200912e-12,annual_inc,22.85671254101885,23.0,0.14328745898114903,23.0
61,61,annual_inc:80K-90K,0.3688714758015868,1.0480099261351532e-16,annual_inc,28.764774579170588,29.0,0.235225420829412,29.0
62,62,annual_inc:90K-100K,0.3892573810394689,2.7420475631210678e-17,annual_inc,30.354477245894074,30.0,-0.35447724589407414,30.0
63,63,annual_inc:100K-120K,0.4668072108020238,1.4671930691082738e-24,annual_inc,36.40185016060767,36.0,-0.40185016060767254,36.0
64,64,annual_inc:120K-140K,0.5570628898501754,6.909543994866028e-27,annual_inc,43.440031295834615,43.0,-0.44003129583461487,43.0
65,65,annual_inc:>140K,0.4946278300505667,2.417158507229875e-25,annual_inc,38.571315391277125,39.0,0.4286846087228753,39.0
66,66,dti:<=1.4,0.24291870353360745,0.003570277940549141,dti,18.942916995748167,19.0,0.0570830042518331,19.0
67,67,dti:1.4-3.5,0.36230417303180645,2.2531148520878678e-07,dti,28.252653159764588,28.0,-0.2526531597645878,28.0
68,68,dti:3.5-7.7,0.37752531091647445,3.7501305301858903e-10,dti,29.4396047914664,29.0,-0.43960479146640097,29.0
69,69,dti:7.7-10.5,0.31316226278136045,1.7099566112224847e-07,dti,24.420543431919292,24.0,-0.4205434319192918,24.0
70,70,dti:10.5-16.1,0.2337539446781322,5.385225789182433e-05,dti,18.22824470514253,18.0,-0.22824470514252937,18.0
71,71,dti:16.1-20.3,0.13240915894775562,0.022374525693241627,dti,10.325329712938933,10.0,-0.32532971293893276,10.0
72,72,dti:20.3-21.7,0.12019639025275507,0.047609644577446354,dti,9.372972153342205,9.0,-0.37297215334220546,9.0
73,73,dti:21.7-22.4,0.08450118346340728,0.1918895585336824,dti,6.589442809900215,7.0,0.41055719009978464,7.0
74,74,dti:22.4-35,0.04301249942704399,0.45288844447938004,dti,3.3541353324135295,3.0,-0.35413533241352946,3.0
75,75,mths_since_last_delinq:Missing,0.13327086220895007,0.00905661354475335,mths_since_last_delinq,10.39252574648566,10.0,-0.39252574648565997,10.0
76,76,mths_since_last_delinq:4-30,0.15955639589151258,0.002021808834810044,mths_since_last_delinq,12.442284268553669,12.0,-0.442284268553669,12.0
77,77,mths_since_last_delinq:31-56,0.20590492272674943,8.412252209004576e-05,mths_since_last_delinq,16.05656461808481,16.0,-0.05656461808480984,16.0
78,78,mths_since_last_delinq:>=57,0.1585901478190496,0.0031204685995465304,mths_since_last_delinq,12.366935780488669,12.0,-0.36693578048866904,12.0
79,79,mths_since_last_record:Missing,0.21464255033407506,0.0033486437300881515,mths_since_last_record,16.7379290091245,17.0,0.26207099087550034,17.0
80,80,mths_since_last_record:3-20,0.3303782216131319,0.004894755900368628,mths_since_last_record,25.763052157713418,26.0,0.2369478422865825,26.0
81,81,mths_since_last_record:21-31,0.23173132174143368,0.029449983554854748,mths_since_last_record,18.070519598568858,18.0,-0.07051959856885759,18.0
82,82,mths_since_last_record:32-80,0.3974496855521857,2.9606843814052613e-07,mths_since_last_record,30.993317080500788,31.0,0.006682919499212403,31.0
83,83,mths_since_last_record:81-86,0.044306550497227426,0.6076687957317548,mths_since_last_record,3.4550460554421187,3.0,-0.45504605544211874,3.0
84,84,mths_since_last_record:>=86,0.11990658249628161,0.10946556325431263,mths_since_last_record,9.350372805512075,9.0,-0.35037280551207495,9.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
